JobID,Submit,Start,End,NNodes,QOS,State,Elapsed,User
22205661,2024-02-26 09:40:23,2024-02-26 09:45:40,2024-02-26 09:46:03,6,regular_1,COMPLETED,00:00:23,joeschm
22205556,2024-02-26 09:36:47,2024-02-26 09:36:56,2024-02-26 10:45:01,6,regular_1,COMPLETED,01:08:05,joeschm
22181829,2024-02-25 19:23:58,2024-02-25 19:31:02,2024-02-25 20:01:16,6,debug,TIMEOUT,00:30:14,joeschm
22180852,2024-02-25 18:51:53,2024-02-25 18:52:52,2024-02-25 19:22:53,6,debug,TIMEOUT,00:30:01,joeschm
22180757,2024-02-25 18:48:56,2024-02-25 18:51:39,2024-02-25 20:29:51,6,regular_1,COMPLETED,01:38:12,joeschm
22178139,2024-02-25 17:16:38,2024-02-25 17:30:58,2024-02-25 17:52:00,6,debug,COMPLETED,00:21:02,joeschm
22177936,2024-02-25 17:04:49,2024-02-25 17:08:48,2024-02-25 17:39:07,6,debug,TIMEOUT,00:30:19,joeschm
22177928,2024-02-25 17:03:18,2024-02-25 17:06:05,2024-02-25 17:30:57,6,debug,COMPLETED,00:24:52,joeschm
22177506,2024-02-25 16:36:03,2024-02-25 16:40:46,2024-02-25 17:05:53,6,debug,COMPLETED,00:25:07,joeschm
22177484,2024-02-25 16:34:20,2024-02-25 16:38:37,2024-02-25 17:08:37,6,debug,TIMEOUT,00:30:00,joeschm
22177481,2024-02-25 16:32:25,,2024-02-25 16:33:14,6,debug,CANCELLED by 95065,00:00:00,joeschm
22177052,2024-02-25 16:10:48,2024-02-25 16:15:55,2024-02-25 16:40:44,6,debug,COMPLETED,00:24:49,joeschm
22176686,2024-02-25 15:47:16,2024-02-25 15:47:25,2024-02-25 16:17:52,6,debug,TIMEOUT,00:30:27,joeschm
22176591,2024-02-25 15:45:38,2024-02-25 15:45:52,2024-02-25 15:46:31,6,debug,CANCELLED by 95065,00:00:39,joeschm
22176362,2024-02-25 15:30:27,2024-02-25 15:53:39,2024-02-25 16:38:15,6,regular_1,COMPLETED,00:44:36,joeschm
22176043,2024-02-25 15:24:51,,2024-02-25 15:44:08,6,regular_1,CANCELLED by 95065,00:00:00,joeschm
